iter	MultiClass
0	2.833433442
1	2.737856329
2	2.653566285
3	2.577482705
4	2.508453662
5	2.44566318
6	2.387902924
7	2.334479739
8	2.28477844
9	2.238043056
10	2.194326088
11	2.153121109
12	2.113947471
13	2.077040498
14	2.04229581
15	2.008680703
16	1.976950682
17	1.946568377
18	1.916870947
19	1.888385446
20	1.861250163
21	1.835484628
22	1.810736327
23	1.786411013
24	1.763168561
25	1.740639579
26	1.718869693
27	1.697809683
28	1.677586116
29	1.657675064
30	1.638796246
31	1.620229004
32	1.601998652
33	1.584798191
34	1.567713203
35	1.551172459
36	1.534842193
37	1.519096172
38	1.503914864
39	1.489004818
40	1.474514634
41	1.46044447
42	1.446633067
43	1.433302467
44	1.420099529
45	1.407266139
46	1.394519003
47	1.38211157
48	1.37007681
49	1.358286904
50	1.346851858
51	1.33564026
52	1.324637109
53	1.31354911
54	1.30300176
55	1.292683327
56	1.282559668
57	1.272630862
58	1.262803389
59	1.252997713
60	1.243560257
61	1.23425726
62	1.225245136
63	1.216281608
64	1.207523714
65	1.198906216
66	1.190504041
67	1.18226453
68	1.174187057
69	1.166013017
70	1.157947108
71	1.150179649
72	1.142432816
73	1.135122252
74	1.12767387
75	1.120509876
76	1.113261737
77	1.106152511
78	1.099256654
79	1.092481271
80	1.085819331
81	1.079302866
82	1.07268624
83	1.066352048
84	1.060014576
85	1.053784061
86	1.047536358
87	1.041549682
88	1.035503707
89	1.029713525
90	1.023956859
91	1.01813941
92	1.012428294
93	1.006896638
94	1.001568117
95	0.9961494361
96	0.990830603
97	0.9856931062
98	0.9806730365
99	0.97559773
100	0.9705439089
101	0.9654993068
102	0.9605623659
103	0.9557077725
104	0.9509816223
105	0.9462153922
106	0.9415882308
107	0.937011228
108	0.9324812585
109	0.9280511373
110	0.923678128
111	0.9193756688
112	0.9150703188
113	0.910869036
114	0.9066979108
115	0.9025232698
116	0.8984023031
117	0.8942203962
118	0.8902291228
119	0.8863379321
120	0.8824748676
121	0.8786016464
122	0.8750455489
123	0.8713682741
124	0.8675940417
125	0.8639456744
126	0.860261993
127	0.8566200323
128	0.8530192452
129	0.8495657305
130	0.8460404156
131	0.8426808894
132	0.839316988
133	0.8359392579
134	0.8326316872
135	0.8294003699
136	0.8261848346
137	0.8230686787
138	0.8199283812
139	0.8167758174
140	0.8137016947
141	0.8107173417
142	0.8077344731
143	0.8047451979
144	0.8018058469
145	0.7988496201
146	0.7959244885
147	0.793188506
148	0.7902468892
149	0.7875362204
150	0.784796644
151	0.7818949509
152	0.7792689734
153	0.7767468286
154	0.774114132
155	0.7715769085
156	0.7691234387
157	0.7665438695
158	0.7639199233
159	0.761510518
160	0.7590849401
161	0.7566706127
162	0.7542915994
163	0.7519179769
164	0.7494823205
165	0.7470407262
166	0.744785156
167	0.7424039551
168	0.7401282276
169	0.7379978193
170	0.7358171743
171	0.7335779329
172	0.7314518997
173	0.7293089127
174	0.7271967864
175	0.7249197308
176	0.7228298711
177	0.7207660282
178	0.7186989821
179	0.7167727235
180	0.7147217719
181	0.7127051186
182	0.7106486979
183	0.7087175954
184	0.7067162554
185	0.7048882825
186	0.7028819422
187	0.7009348233
188	0.6991019283
189	0.6972422353
190	0.6955421588
191	0.6937241863
192	0.6918501958
193	0.6899998
194	0.6882633937
195	0.6864483902
196	0.6847176873
197	0.6830588626
198	0.6813255815
199	0.6795956599
200	0.6778804265
201	0.6762268365
202	0.6745965287
203	0.6729087965
204	0.6712691134
205	0.6697063868
206	0.6682102257
207	0.6664916327
208	0.6649595326
209	0.6633817272
210	0.6618659558
211	0.6603377621
212	0.6588921501
213	0.6573647377
214	0.6559401423
215	0.6545193362
216	0.6531567358
217	0.6517885883
218	0.6502806689
219	0.6488743556
220	0.6475205056
221	0.6462211503
222	0.6447822574
223	0.6433811006
224	0.6421028009
225	0.6408636045
226	0.6394802219
227	0.6382483696
228	0.6368926836
229	0.6355595377
230	0.6343399906
231	0.6331204435
232	0.6319312494
233	0.6307385395
234	0.6295061012
235	0.6282750302
236	0.6270677102
237	0.6259560196
238	0.6248151479
239	0.6236890816
240	0.6225033642
241	0.6214014396
242	0.6202170504
243	0.6190603968
244	0.6178932739
245	0.6167421675
246	0.6157253248
247	0.6145458968
248	0.6134931931
249	0.6124015034
250	0.6112749683
251	0.6101340185
252	0.6090509229
253	0.6079627099
254	0.6069143033
255	0.6059009374
256	0.6049336673
257	0.6038695179
258	0.6028651367
259	0.6018861083
260	0.6009779815
261	0.6000461818
262	0.5990605124
263	0.5981154699
264	0.5971228862
265	0.5962381979
266	0.5952573725
267	0.5943000248
268	0.5935032701
269	0.5925591261
270	0.5915274
271	0.5906042334
272	0.5897512263
273	0.5889034928
274	0.5879313788
275	0.5869814142
276	0.5862507172
277	0.5854499781
278	0.5847316254
279	0.5840246014
280	0.583179954
281	0.5824464445
282	0.5816050394
283	0.5806999596
284	0.5799067599
285	0.5790443773
286	0.578414388
287	0.5775130584
288	0.5766984124
289	0.5759394329
290	0.5750972075
291	0.5743526818
292	0.5735212772
293	0.5726886616
294	0.5718641714
295	0.5712634022
296	0.5705478622
297	0.5699368972
298	0.5691978795
299	0.5685107002
300	0.5679048917
301	0.5672368538
302	0.5666145211
303	0.5660042983
304	0.5652489128
305	0.5646541204
306	0.563965691
307	0.5632288219
308	0.5625503148
309	0.5619692339
310	0.5613742853
311	0.560828792
312	0.5601343857
313	0.5595092795
314	0.558809248
315	0.5582239482
316	0.557606186
317	0.5569686964
318	0.5563101121
319	0.5557122336
320	0.5551772877
321	0.5546621864
322	0.5541459913
323	0.5535279166
324	0.5530335584
325	0.5524886511
326	0.5519440562
327	0.5513188718
328	0.5508639295
329	0.5502985525
330	0.5498100149
331	0.5493410094
332	0.5488943487
333	0.5485025342
334	0.548044076
335	0.5476010483
336	0.5470674305
337	0.5466185822
338	0.546200829
339	0.5456529138
340	0.5451278901
341	0.544552083
342	0.5441250716
343	0.5437669304
344	0.5432549933
345	0.5428713823
346	0.5424762083
347	0.5419893895
348	0.5415719098
349	0.5412276365
350	0.5407069881
351	0.5402768906
352	0.5399246091
353	0.5394162269
354	0.5390648048
355	0.5386188082
356	0.5381497636
357	0.5378115843
358	0.5373705098
359	0.5369099031
360	0.5365559028
361	0.5361733856
362	0.5358438786
363	0.5355230048
364	0.5350505617
365	0.534579017
366	0.5342062658
367	0.5338820716
368	0.5335890115
369	0.5330874264
370	0.5327882723
371	0.5323974344
372	0.5318961619
373	0.5313911782
374	0.5310658902
375	0.5307716582
376	0.5304291037
377	0.5300804552
378	0.5296352008
379	0.5293595243
380	0.5289562249
381	0.5285041733
382	0.5280367695
383	0.5275893665
384	0.5273015801
385	0.526813316
386	0.5264931453
387	0.5262105154
388	0.5259534335
389	0.5255466574
390	0.5252337918
391	0.5248613141
392	0.5244268805
393	0.5241610091
394	0.5238968957
395	0.5236048903
396	0.5231385412
397	0.5227223506
398	0.5224958561
399	0.5220637272
400	0.5217828943
401	0.52152132
402	0.5210793861
403	0.5208127725
404	0.5205494794
405	0.5201511021
406	0.5199140993
407	0.5195119718
408	0.5192630934
409	0.5190241764
410	0.5186430264
411	0.5182916825
412	0.5180822981
413	0.5177197818
414	0.5175000063
415	0.5171497561
416	0.5167945058
417	0.5165894965
418	0.5162130733
419	0.515755084
420	0.5155268315
421	0.5151734172
422	0.5149355158
423	0.5145821406
424	0.5143395125
425	0.514125245
426	0.5136880769
427	0.5134933025
428	0.5131557092
429	0.5129507
430	0.512788427
431	0.5125622841
432	0.512322703
433	0.5121195688
434	0.5117504506
435	0.5114805557
436	0.5111458922
437	0.5108241199
438	0.5106437212
439	0.5102924553
440	0.5099497837
441	0.5095909394
442	0.5092595964
443	0.5090634547
444	0.5087173845
445	0.5085474159
446	0.5081996268
447	0.508003368
448	0.5078251959
449	0.5074983062
450	0.5073247827
451	0.5071597363
452	0.5069478127
453	0.506766242
454	0.5065430679
455	0.5062065684
456	0.5059464395
457	0.505575329
458	0.5052645728
459	0.5050817912
460	0.5048351004
461	0.5044790687
462	0.5041147164
463	0.5039213093
464	0.5036139517
465	0.5033024142
466	0.5030079088
467	0.5028486047
468	0.5026421111
469	0.5023586608
470	0.5020364198
471	0.5018421532
472	0.5015203809
473	0.5013273644
474	0.5010457111
475	0.5007339393
476	0.5005577985
477	0.5003786889
478	0.5000768785
479	0.4998093274
480	0.4996324053
481	0.4994788047
482	0.4993089142
483	0.4990701144
484	0.498831588
485	0.4985441923
486	0.4983728565
487	0.4982338658
488	0.4979085387
489	0.4976550898
490	0.4975230135
491	0.4972329224
492	0.497089205
493	0.4968145832
494	0.4964828105
495	0.4962347524
496	0.4960901366
497	0.4958028189
498	0.4956458978
499	0.4954852265
500	0.4952980306
501	0.4949929387
502	0.49474324
503	0.4944850253
